comment,label,tokenized
bagus dan bermanfaat,1,bagus manfaat
gak aja,-1,gak aja
kadang bisa kebuka kadang stuck di logo...!,-1,kadang buka kadang stuck logo
sangt memuas kn,1,sangt muas kn
ga bisa mulai ..,-1,ga
"kenapa setiap mengisi tanggal lahir tidak bisa, susah sekali, tolong bagaimana caranya, setiap mengklik tgl lahir tidak bisa , saya beri bintang 1 saja",-1,isi tanggal lahir susah tolong klik tgl lahir bintang 1
tolong dong percepatan kartu vaksinnya di tingkatkan lagi masa udh 2 minggu lebih dari vaksinasi kartunya blom keluar udh beberapa keluarga yg vaksin tapi kartunya gk muncul??,-1,tolong cepat kartu vaksin tingkat udh 2 minggu vaksinasi kartu blom udh keluarga yg vaksin kartu gk muncul
bagus,1,bagus
"saya mau bertanya kenapa bila yang belum vaksin sama sekali,. tapi bisa yah meminjam data orang lain di aplikasi ini atas nama orang lain ,, dan berkeliaran bebas di mall dan tempat tempat keramaian lain nya,. mohon di tindak lanjuti laporan saya ini terimakasih.",-1,vaksin yah pinjam data orang aplikasi nama orang liar bebas mall ramai nya mohon tindak lanjut lapor terimakasih
"sudah vaksin pertama dan kedua.. waktu download dan masukan data, e-sertifikat vaksin muncul.. tapi barusan saya cel lagi.. kenapa hilang dan tidak muncul e-sertifikat vaksin saya?? malah ada keterangan saya harus vaksin.. padahal kan jelas saya sudah vaksin.",-1,vaksin download masuk data vaksin barusan cel hilang muncul vaksin terang vaksin
kok aplikasi peduli kok gk bisa di buka,-1,aplikasi peduli gk buka
ok,1,ok
gak bisa masuk. eror di bilang nama dan no ktp tidak sesuai. pdhal no ktp dan nama aktif di capil. apakah sudah penuh koutanya ??,-1,gak masuk eror bilang nama ktp sesuai pdhal ktp nama aktif capil penuh koutanya
burukkk,-1,burukkk
bisa antisivasi lindungi diri juga orang lain,1,antisivasi lindung orang
"sudah di pastikan ini bukan masalah covid tapi ini lebih ke proyek para peraup keuntungan . tidak semua orang vaksin tidak semua orang memiliki gadget dan satu lagi ! orang vaksin bukan karna ingin kekebalan tubuh, tapi mereka vaksin 100% karna sertifikat yang di haruskan untuk aktivitas ruang publik ! sungguh miris indonesia ku!!!",-1,pasti covid proyek raup untung orang vaksin orang milik gadget orang vaksin karna kebal tubuh vaksin 100 karna sertifikat harus aktivitas ruang publik sungguh miris indonesia ku
udah 2x vaksin .tapi sertifikat. ga ada yang. muncul. satupun,-1,udah 2x vaksin sertifikat ga muncul satu
saya udah vaksin cuma belum ada sertifikat y lama,-1,udah vaksin sertifikat
iki.. .... ok,1,ok
ini kok mau di pencet lanjutkan ga bisa ya:),-1,pencet lanjut ga ya
mamtap,1,mamtap
mantap jiwa ??????,1,mantap jiwa
"cara ganti no tlp yg terdaftar gmn ya , sudah email ga ada tanggapan , krn sya butuh sertifikat vaksin , no yg baru sudah sya daftarkan , nik juga sudah sya masukkan , tp sertifikat ga muncul2 gmna ini ???",-1,ganti tlp yg daftar gmn ya email ga tanggap krn sya butuh sertifikat vaksin yg sya daftar nik sya masuk tp sertifikat ga muncul2 gmna
cuku membantu,1,cuku bantu
"aplikasi ini ngga adil karena hanya memberlakukan kepada wni saja, sedangkan wna boleh masuk tanpa scan cukup menunjukkan sertifikat vaksin dari negaranya....apa hanya wni yg bisa menularkan virus sehingga hanya wni yg perlu dilacak ?",-1,aplikasi ngga adil laku wni wna masuk scan sertifikat vaksin negara wni yg tular virus wni yg lacak
bagus banget.....,1,bagus banget
"sudah sesuai isi data dengan ktp, sampek mentelengin liat mana yang salah padahal sesuaiiii bangetttttt dengan ktp, tapi nggk bisa bisa, aku nggk tau gimana solusinya sampek pingin banting hp. gregeten banget periksa periksa terus",-1,sesuai isi data ktp sampek mentelengin liat salah sesuaiiii bangetttttt ktp nggk nggk tau gimana solusi sampek pingin banting hp gregeten banget periksa periksa
udh vaksin 2x. sertifikatnya ke2 blm bisa keluar mohon aplikasimya dibenahi dong .trm,-1,udh vaksin 2x sertifikat ke2 blm mohon aplikasimya benah
"maaf sebelumnya, saya sudah vaksin yang pertama tapi belum dapat sms, terus saya juga sudah login ke apk ini tapi sertifikat saya belum muncul muncul",-1,maaf vaksin sms login apk sertifikat muncul muncul
aneh ... ngisi data sendiri ga bs2 ... kan jadi lucu,-1,aneh ngisi data ga bs2 lucu
bagus,1,bagus
kok tanggal lahir di akun saya enggak bisa di isi?,-1,tanggal lahir akun isi
ok,1,ok
"mohon maaf kenapa akun punya ayah saya tapi sertifikasi, riwayat dan tiket vaksin itu punya saya? saya udah cek nik dan no tlp punya ayah saya tapi tetep aja sertifikatnya punya saya. apknya kenapa deh...",-1,mohon maaf akun ayah sertifikasi riwayat tiket vaksin udah cek nik tlp ayah tetep aja sertifikat apknya deh
kenapa ya vaksin yg ke 2 sertifikat ga bisa muncul...,-1,ya vaksin yg 2 sertifikat ga muncul
sangat membantu karena bisa melacak penyebaran covid,1,bantu lacak sebar covid
nice,1,nice
serrifikat saya belum keluar... tidak muncul gmn donk,-1,serrifikat muncul gmn donk
jelek,-1,jelek
saya sudah vaksin ke dua tiap kali buka aplikasi harus uninstall dulu terus instal lg. kalo out cuma ada info aplikasi aja gak bisa di buka. gimna sih aplikasi ini masa tiap mau pake harus install dulu,-1,vaksin kali buka aplikasi uninstall instal lg kalo info aplikasi aja gak buka gimna sih aplikasi pake install
"mau bertanya, apakah sertifikat vaksin di aplikasi memang belum tersedia kalau hanya vaksin pertama?.... karena kemarin saya sudah vaksin pertama tapi saya coba cek sertifikatnya di aplikasi @pedulilindungi tapi belum tersedia, mohon penjelasannya... thank you",-1,sertifikat vaksin aplikasi sedia vaksin kemarin vaksin coba cek sertifikat aplikasi pedulilindungi sedia mohon jelas thank
kok tgl lahirnya ngak bisa ya,-1,tgl lahir ngak ya
aplikasi sangat membantu,1,aplikasi bantu
sangat membantu????,1,bantu
tidak dapat mengunduh sertifikat vaksin,-1,unduh sertifikat vaksin
aikasi bikin emosi,-1,aikasi bikin emosi
membantu,1,bantu
cukup baik sekali tapi ini buat revisi pengisian tgl lahirnya kelamaan ??,0,revisi isi tgl lahir
sering kali gps tidak sesuai,-1,kali gps sesuai
bagus banget aplikasi nya cocok banget lagi keadaan covid-19 sekarang ini dan engga usah bawa surat vaksin kemana 2 kalau mau jalan 2 guys tinggal di pecet dan tinggal di download aja aplikasi kita kan bisa cek ke aplikasi nya langsung loh guys,1,bagus banget aplikasi nya cocok banget engga bawa surat vaksin mana 2 jalan 2 guys tinggal pecet tinggal download aja aplikasi cek aplikasi nya langsung loh guys
"aplikasi ini bermanfaat banget, bisa tahu mana zona hijau agar aman dari covid-19 tapi butuh upgrade soal info jumlah korban covid-19 yang terpapar.",1,aplikasi manfaat banget zona hijau aman butuh upgrade info korban papar
aplikasi ga bisa dibuka udah berulang kali coba. memori juga aman aplikasi ini aja yg ga bisa kebuka kenapa ya,-1,aplikasi ga buka udah ulang kali coba memori aman aplikasi aja yg ga buka ya
"apl selalu meminta izin lokasi,. sdh diatur ntp ttp tidak mw trbuka.",-1,apl izin lokasi sdh atur ntp ttp mw trbuka
saya sangat puast sekali,1,puast
sangat jelek sekali,-1,jelek
bagus,1,bagus
copad copid tros,0,copad copid tros
tdk bisa isi tanggal lahir. sdh d pilih malah gk ke isi. mohon perbaiki lagi,-1,tdk isi tanggal lahir sdh pilih gk isi mohon baik
sangat membantu,1,bantu
makasih joss ..,1,makasih joss
saat mengisi data diri di tanggal lahir kok nggak bisa diisi. bagaimana mengatasi hal tersebut terimakasih,-1,isi data tanggal lahir nggak isi atas terimakasih
agak lumayan lancar kinerja nyaa,1,lumayan lancar kerja nyaa
sengat baik dan dapat membantu masyarakat,1,sengat bantu masyarakat
tolong d benahi aplikasi ni susah bgt di buka,-1,tolong benah aplikasi ni susah bgt buka
ga bisa digunkan,-1,ga gun
supir angot,0,supir angot
kenapa untuk ngecek sertifikatnya tidak keluar?,-1,ngecek sertifikat
"ini gimana ya,, mau login tapi no yang terdaftar untuk vaksin hilang. tolong infonya",-1,gimana ya login daftar vaksin hilang tolong info
ini kok susah bngt nginstalnya dowloadnya cepet tapi lama bngt instalny,-1,susah bngt nginstalnya dowloadnya cepet bngt instalny
mantap,1,mantap
"saya tidak bisa memasukkan tanggal bulan,tahun tiap saya klik ok kembali semula kosong. mohon bantuanya",-1,masuk tanggal klik ok kosong mohon bantuanya
jelek,-1,jelek
kenapa susah menulis tgl lahir udh ok ga berhasil trs,-1,susah tulis tgl lahir udh ok ga hasil trs
sangat berguna,1,guna
aplikasi nya jelekkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk tapi bohong hayyuk pal pale pal pale pal pale paleee buruan download wkwkkwk,0,aplikasi nya jelekkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkkk bohong hayyuk pal pale pal pale pal pale paleee buru download wkwkkwk
